Video_ID,Channel_Name,Title,Content_Category,Published_Date,Upload_Hour,Duration_Seconds,Has_Captions,Tags_Count,Views,Likes,Comments,Channel_Subscribers,Age_in_Days,Engagement_Rate_%,Views_Per_Day,Viral_Multiplier,Publish_Month,Publish_Day_OfWeek,Clean_Title,Content_Medium,Performance_Tier,Upload_Time_Bucket,Engagement_Momentum,Viral_Probability_Score,Duration_Minutes,Views_Per_Minute,Tag_Impact_Ratio,Log_Views,Log_Subscribers,Clean_Tier
JdIQPKN9Ahc,Sfailure Editz,Mit students showing levels 🥶 Solving jee advanced paper | #motivation #iitstatus #toppers #upsc,Motivation & Tips,2024-02-09,10,27,False,0,5752886,0,1458,284000,929,0.03,6192.56,20.26,February,Friday,Mit students showing levels  Solving jee advanced paper | motivation iitstatus toppers upsc,Mixed / General,Mega Viral (Top 5%),Morning (5AM - 12PM),0.12671900677329603,11.739760319832973,0.45,12784191.11111111,5752886.0,15.565212373726574,12.556733038263905,Mega Viral (Top 5%)
p-v1BU8GEy4,Studio57,Nandhini +2 First Mark from Dindigul | Tamilnadu First | 2023 #Studio57 #nandhini #2023result,General Education,2023-05-11,5,39,False,0,7095844,262858,4847,23300,1203,3.77,5898.46,304.54,May,Thursday,Nandhini 2 First Mark from Dindigul | Tamilnadu First | 2023 Studio57 nandhini 2023result,Tamil Medium,Mega Viral (Top 5%),Morning (5AM - 12PM),7.750325401742203,14.401249576980849,0.65,10916683.076923076,7095844.0,15.77501995944099,10.056251557087757,Mega Viral (Top 5%)
MKLsNjex_ic,Numbers & Numbers,A Nice Olympiad Exponential Multiplication Problem #short #olympiad #mathematics #maths #exponents,A/L Content,2023-05-12,16,52,False,22,6838111,0,2669,51400,1202,0.04,5688.94,133.04,May,Friday,A Nice Olympiad Exponential Multiplication Problem short olympiad mathematics maths exponents,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),0.19515623539892815,13.53693037416411,0.8666666666666667,7890128.076923077,310823.2272727273,15.738022228105452,10.847412906506923,Mega Viral (Top 5%)
Rr7DoCwxyow,Quantum Project - Tharun Speaks,Step by Step Method to Study Physics!,Motivation & Tips,2024-09-27,11,48,False,0,3942481,222466,401,516000,698,5.65,5648.25,7.64,September,Friday,Step by Step Method to Study Physics,Mixed / General,High Performing (Top 25%),Morning (5AM - 12PM),11.336440175615305,10.672521818118096,0.8,4928101.25,3942481.0,15.187321032177962,13.153863982446317,High Performing (Top 25%)
_BmNJjQrsfg,MBBS Unplugged ,Experiment on Density#Basic science,General Education,2022-06-25,3,57,False,0,8487294,213328,629,26100,1523,2.52,5572.75,325.18,June,Saturday,Experiment on DensityBasic science,Mixed / General,Mega Viral (Top 5%),Night / Late (10PM - 5AM),5.0640522173498415,14.410023354419957,0.95,8933993.684210526,8487294.0,15.954080897390975,10.169728906753061,Mega Viral (Top 5%)
RF3XQSVHA6U,Abhi,What non-CS students think Computer Science is,General Education,2022-07-21,16,15,False,4,8225870,297955,2262,47500,1497,3.65,5494.9,173.18,July,Thursday,What nonCS students think Computer Science is,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),7.381833167798664,13.765908235183302,0.25,32903480.0,2056467.5,15.92279474566559,10.768506042432708,Mega Viral (Top 5%)
ZE-ZrchrK6Y,Kiran Kumar,Most Useless Degree? #shorts,General Education,2023-01-04,15,19,False,0,7280802,132669,1667,319000,1330,1.85,5474.29,22.82,January,Wednesday,Most Useless Degree shorts,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),3.7588304145614724,11.735463215224025,0.31666666666666665,22992006.315789476,7280802.0,15.80075171628783,12.672949516558306,Mega Viral (Top 5%)
6AUooWHZUxQ,LittleSane,Study hard but got less marks 🤯 WHY ⁉️ Day 3/40 #shorts #studymotivation,Motivation & Tips,2024-05-02,17,10,False,5,4566367,58409,335,222000,846,1.29,5397.6,20.57,May,Thursday,Study hard but got less marks  WHY  Day 3/40 shorts studymotivation,Mixed / General,High Performing (Top 25%),Prime Time (5PM - 10PM),2.594907505244322,11.617552399623293,0.16666666666666666,27398202.0,913273.4,15.334228698531621,12.310437165348775,High Performing (Top 25%)
xCoXNBOlNCM,Exphub 9th &10th,Topper’s Attitude 😈| Class 10 topper interview| Prashant Kirad| #class10 #motivation,Motivation & Tips,2023-05-24,13,20,False,0,5785825,316995,1742,8090000,1190,5.51,4862.04,0.72,May,Wednesday,Toppers Attitude | Class 10 topper interview| Prashant Kirad| class10 motivation,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),11.108182497742328,8.160994933844504,0.3333333333333333,17357475.0,5785825.0,15.57092169147702,15.90613941264406,Mega Viral (Top 5%)
1NBo73pccYw,POWER TOP 10 🎯,ශ්‍රී ලංකාවෙ වැඩිම වැටුප් ගෙවන රැකියා 10 | 🇱🇰 highest paying jobs in Sri Lanka#viral #trending #top,A/L Content,2025-10-25,8,37,False,0,1437387,35662,326,20800,305,2.5,4712.74,69.11,October,Saturday,      10 |  highest paying jobs in Sri Lankaviral trending top,Mixed / General,High Performing (Top 25%),Morning (5AM - 12PM),5.075459844843456,12.693727267274046,0.6166666666666667,2330897.8378378376,1437387.0,14.178338135574785,9.942756341456828,High Performing (Top 25%)
vxv5utDzkZk,Team Educational Institution,நீங்களும் Teacher ஆக ஆசையா? #motivation#montessorieducation #education#montessorilearning#montessori,Motivation & Tips,2024-05-25,6,38,False,13,3804827,8330,109,15600,823,0.22,4623.12,243.9,May,Saturday, Teacher   motivationmontessorieducation educationmontessorilearningmontessori,Mixed / General,High Performing (Top 25%),Morning (5AM - 12PM),0.45218875917354456,13.93558427289934,0.6333333333333333,6007621.578947369,292679.0,15.151781344576836,9.65509029374725,High Performing (Top 25%)
PjWu1H4TsXI,unstop brave,Start or stop 📚 ✨ #study #motivation #students #exam #girl,Motivation & Tips,2024-09-22,12,10,False,13,3229387,68230,215,14300,703,2.12,4593.72,225.83,September,Sunday,Start or stop   study motivation students exam girl,Mixed / General,High Performing (Top 25%),Afternoon (12PM - 5PM),4.258857795612604,13.852228900104855,0.16666666666666666,19376322.0,248414.38461538462,14.987803203562223,9.568084743872936,High Performing (Top 25%)
zjoGsp3o01A,Padhle NEET,Average Student Vs Toppers Student | NEET 2024 Strategy | Padhle NEET,General Education,2022-06-09,15,19,False,10,6837743,180594,1556,18100,1539,2.66,4442.98,377.78,June,Thursday,Average Student Vs Toppers Student | NEET 2024 Strategy | Padhle NEET,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),5.396049544418385,14.333393212847339,0.31666666666666665,21592872.63157895,683774.3,15.737968410633247,9.803722464346553,Mega Viral (Top 5%)
7DNZONegP58,Humans of Bombay,"At 22, I was the youngest Indian to make it to Harvard! To DONATE visit link in description #donate",General Education,2022-07-13,15,15,False,0,6601104,149758,7378,1360000,1505,2.38,4386.12,4.85,July,Wednesday,At 22 I was the youngest Indian to make it to Harvard To DONATE visit link in description donate,Mixed / General,Mega Viral (Top 5%),Afternoon (12PM - 5PM),5.096208149424703,9.965226000876255,0.25,26404416.0,6601104.0,15.702747617225205,14.122995993006082,Mega Viral (Top 5%)
xDVbzrqNdRw,Namour,Tell me what she said in the comments ‼️#tamil #language #srilanka #shorts,General Education,2025-05-10,4,9,False,0,2052783,31758,4465,218000,473,1.76,4339.92,9.42,May,Saturday,Tell me what she said in the comments tamil language srilanka shorts,Tamil Medium,High Performing (Top 25%),Night / Late (10PM - 5AM),4.181688955919841,10.618470742649013,0.15,13685220.0,2052783.0,14.534707478580867,12.292254928916668,High Performing (Top 25%)
